Location,Frozen pizza,Eggs Dozen,Potato,Celsius 4 pack,Crushed Tomatoes,Light Red Kidney Beans,Spaghetti Noodles,Spaghetti Sauce,Green Peppers,Tomato Paste,Onion x2,Apple Juice,Butter 1/4,Coffee 1/4,Dark Red Kidney Beans,Ground beef x2,1/2 gallon milk,Cereal,Lunch meat,Bread,American cheese,Ramen pack,Poptarts,Row Sums,antihistamine,Ibuprofen,Row Sum
"Auburn, AL",4.99,2.69,0.99,9.39,3.59,1.29,1.99,1.89,2.39,0.85,2.58,1.99,1.4475,4.6475,1.59,12.98,1.59,5.79,3.79,3.29,4.59,2.19,3.99,80.525,7.99,4.39,173.43
"Montevallo, AL",4.99,2.69,0.99,9.39,3.59,1.29,1.99,1.89,2.39,0.85,2.58,1.99,1.4475,4.6475,1.59,12.98,1.59,5.79,3.79,3.29,4.59,2.19,3.99,80.525,7.99,4.39,173.43
"Tuscaloosa, AL",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.8725,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73.55,7.99,3.99,159.08
"Tuskegee, AL",4.99,2.69,0.99,9.39,3.59,1.29,1.99,1.89,2.39,0.85,2.58,1.99,1.4475,4.6475,1.59,12.98,1.59,5.79,3.79,3.29,4.59,2.19,3.99,80.525,7.99,4.39,173.43
"Flagstaff, AZ",4.19,1.79,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.3475,3.3225,1.29,12.98,2.29,5.29,3.49,3.29,4.29,1.99,3.99,72.9,7.99,3.99,157.78
"Fayetteville, AR",4.19,2.69,0.89,7.89,2.89,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.99,5.29,3.49,3.29,4.29,1.99,3.99,73.42,7.99,3.99,158.82
"Chico, CA",4.49,2.69,0.89,7.89,2.69,1.29,1.89,1.79,1.89,0.85,1.9,1.99,1.0975,3.3225,1.29,12.98,2.59,5.29,3.49,3.29,4.29,2.69,3.99,74.57,7.99,3.99,161.12
"Davis, CA",4.49,3.49,0.89,7.89,2.69,1.29,1.89,1.79,1.89,0.85,1.9,1.99,1.0975,3.3225,1.29,12.98,2.59,5.29,3.49,3.29,4.29,2.69,3.99,75.37,7.99,3.99,162.72
"Santa, Cruz, CA",4.99,2.99,0.99,9.99,2.79,1.49,1.99,1.99,2.19,0.99,2.38,2.29,1.3475,3.7225,1.29,12.98,2.59,5.29,3.49,2.89,4.29,2.99,3.99,79.94,8.79,4.39,173.06
"Boulder, CO",4.19,1.79,0.85,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.7,1.99,1.4475,3.3225,1.29,12.98,1.79,5.29,3.49,3.29,4.29,1.99,3.99,72.18,7.99,3.99,156.34
