Location,antihistamine,Ibuprofen,Row Sum
"Auburn, AL",7.99,4.39,12.38
"Montevallo, AL",7.99,4.39,12.38
"Tuscaloosa, AL",7.99,3.99,11.98
"Tuskegee, AL",7.99,4.39,12.38
"Flagstaff, AZ",7.99,3.99,11.98
"Fayetteville, AR",7.99,3.99,11.98
"Chico, CA",7.99,3.99,11.98
"Davis, CA",7.99,3.99,11.98
"Santa, Cruz, CA",8.79,4.39,13.18
"Boulder, CO",7.99,3.99,11.98
"Fort, Collins, CO",7.99,3.99,11.98
"Willimantic, CT",7.99,3.99,11.98
"Newark, DE",7.99,3.99,11.98
"Gainesville, FL",7.99,3.99,11.98
"Tallahassee, FL",8.79,4.39,13.18
"Tallahassee, FL",8.79,4.39,13.18
"Athens, GA",7.99,3.99,11.98
"Dahlonega, GA",7.99,3.99,11.98
"Fort, Valley, GA",7.99,3.99,11.98
"Valdosta, GA",7.99,3.99,11.98
"Carbondale, IL",7.99,3.99,11.98
"Champaign, Urbana, IL",8.79,4.39,13.18
"Edwardsville, IL",7.99,3.99,11.98
"Bloomington, IN",7.99,3.99,11.98
"West, Lafayette, IN",8.79,4.39,13.18
"Ames, IA",7.99,3.99,11.98
"Cedar, Falls, IA",7.99,3.99,11.98
"Iowa, City, IA",7.99,3.99,11.98
"Lawrence, KS",7.99,3.99,11.98
"Manhattan, KS",7.99,3.99,11.98
"Bowling, Green, KY",7.99,3.99,11.98
"Gorham, ME",7.99,3.99,11.98
"Princess, Anne, MD",7.99,3.99,11.98
"Salisbury, MD",7.99,3.99,11.98
"Amherst, MA",7.99,3.99,11.98
"Bridgewater, MA",7.99,3.99,11.98
"Ann, Arbor, MI",7.99,3.99,11.98
"Detroit, MI",7.99,3.99,11.98
"East, Lansing, MI",7.99,3.99,11.98
"Kalamazoo, MI",7.99,3.99,11.98
"Ypsilanti, MI",7.99,3.99,11.98
"Minneapolis, MN",7.99,3.99,11.98
"Northfield, MN",7.99,3.99,11.98
"St., Cloud, MN",7.99,3.99,11.98
"Hattiesburg, MS",7.99,3.99,11.98
"Starkville, MS",7.99,3.99,11.98
"Columbia, MO",7.99,3.99,11.98
"Bozeman, MT",7.99,3.99,11.98
"Lincoln, NE",7.99,3.99,11.98
"Durham, NH",7.99,3.99,11.98
