Location,Spaghetti Noodles,Spaghetti Sauce,Green Peppers,Tomato Paste,Onions x2,Apple Juice,Butter 1/4,Coffee 1/4,antihistamine,Ibuprofen,Row Sum
"Jacksonville, AL",1.89,1.69,1.89,0.85,0.99,1.99,5.79,15.49,7.99,3.99,42.56
"Livingston, AL",1.89,1.69,1.89,0.85,0.99,1.99,5.79,15.49,7.99,3.99,42.56
"Troy, AL",1.89,1.69,1.89,0.85,0.99,1.99,5.79,15.49,7.99,3.99,42.56
"Fairbanks, AK",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Arkadelphia, AR",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Conway, AR",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Magnolia, AR",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Monticello, AR",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Russellville, AR",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Arcata, CA",1.89,1.79,1.89,0.85,0.95,1.99,4.39,13.29,7.99,3.99,39.02
"San, Luis, Obispo, CA",1.99,1.79,1.89,0.85,0.95,1.99,5.39,13.29,8.79,4.39,41.32
"Santa, Barbara, CA",1.99,1.89,2.39,0.99,1.29,2.19,5.79,14.89,9.99,4.39,45.8
"Alamosa, CO",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Durango, CO",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Gunnison, CO",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Storrs, CT",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Carrollton, GA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,15.49,7.99,3.99,42.56
"Milledgeville, GA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,15.49,7.99,3.99,42.56
"Statesboro, GA",1.89,1.69,1.89,0.85,1.49,2.19,5.79,13.29,7.99,3.99,41.06
"Moscow, ID",1.99,1.69,1.89,0.85,0.75,1.99,6.49,13.29,7.99,3.99,40.92
"Pocatello, ID",1.89,1.69,1.89,0.85,0.85,1.99,5.79,13.29,7.99,3.99,40.22
"Charleston, IL",1.99,1.89,2.39,0.99,1.29,2.59,5.79,15.69,8.79,4.39,45.8
"DeKalb, IL",1.79,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.26
"Macomb, IL",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Muncie, IN",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Terre, Haute, IN",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Emporia, KS",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Hays, KS",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Pittsburg, KS",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Morehead, KY",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Murray, KY",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Richmond, KY",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Grambling, LA",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
"Hammond, LA",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Natchitoches, LA",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Ruston, LA",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Thibodaux, LA",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Augusta, ME",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Farmington, ME",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Orono, ME",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Frostburg, MD",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Big, Rapids, MI",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Houghton, MI",1.89,1.69,1.89,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.56
"Marquette, MI",1.89,1.69,1.89,0.85,1.19,1.99,5.79,13.29,7.99,3.99,40.56
"Mount, Pleasant, MI",1.89,1.69,1.89,0.85,0.99,2.19,5.79,13.29,7.99,3.99,40.56
"Bemidji, MN",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Crookston, MN",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Mankato, MN",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Marshall, MN",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Morris, MN",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Winona, MN",1.89,1.69,1.89,0.85,0.99,1.99,5.79,13.29,7.99,3.99,40.36
"Cleveland, MS",1.89,1.69,1.89,0.85,0.95,1.99,5.79,13.29,7.99,3.99,40.32
