Item,URL
Dark Red Kidney Beans,https://www.target.com/p/bush-39-s-dark-red-kidney-beans-16oz/-/A-13593955#lnk
Ground Beef x 2,https://www.target.com/p/all-natural-85-15-ground-beef-1lb-good-38-gather-8482/-/A-13288295#lnk
1/2 gallon milk,https://www.target.com/p/2-reduced-fat-milk-0-5gal-good-38-gather-8482/-/A-13276128#lnk
Cereal,https://www.target.com/p/cheerios-breakfast-cereal/-/A-88752573?preselect=81875238#lnk
Lunch meat,https://www.target.com/p/uncured-honey-ham-ultra-thin-deli-slices-9oz-good-38-gather-8482/-/A-54528288#lnk
Bread,https://www.target.com/p/sara-lee-whole-grain-soft-white-bread-20oz/-/A-13376577#lnk
American cheese,https://www.target.com/p/kraft-singles-american-cheese-slices-12oz-16ct/-/A-12955140#lnk
Ramen pack,https://www.target.com/p/maruchan-souper-6-pack-chicken-ramen-noodle-soup-18oz-6ct/-/A-14770997#lnk
Poptarts,https://www.target.com/p/pop-tarts-frosted-brown-sugar-cinnamon-pastries-12ct-20-31oz/-/A-14895485#lnk
Frozen pizza,https://www.target.com/p/jack-39-s-original-thin-crust-pepperoni-frozen-pizza-14-3oz/-/A-13429167#lnk
Eggs Dozen,https://www.target.com/p/grade-a-large-eggs-12ct-good-38-gather-8482-packaging-may-vary/-/A-14713534#lnk
Potato,https://www.target.com/p/russet-potato-each/-/A-13474257#lnk
Celsius 4 pack,https://www.target.com/p/celsius-sparkling-orange-energy-drink-4pk-12-fl-oz-cans/-/A-88371511#lnk
Crushed Tomatoes,https://www.target.com/p/muir-glen-organic-gluten-free-crushed-fire-roasted-tomatoes-14-5oz/-/A-79586106#lnk
Light Red Kidney Beans,https://www.target.com/p/organic-low-sodium-light-red-kidney-beans-15oz-good-38-gather-8482/-/A-85157265#lnk
Spaghetti Noodles,https://www.target.com/p/barilla-spaghetti-pasta-16oz/-/A-13156213#lnk
Spaghetti Sauce,https://www.target.com/p/tomato-basil-38-garlic-pasta-sauce-24oz-good-38-gather-8482/-/A-79507431#lnk
Green Peppers,https://www.target.com/p/green-bell-peppers-2ct-good-38-gather-8482/-/A-82675176#lnk
Tomato Paste,https://www.target.com/p/tomato-paste-6oz-good-38-gather-8482/-/A-79359666#lnk
Onions x2,https://www.target.com/p/yellow-onion-each/-/A-13474244#lnk
Apple Juice,https://www.target.com/p/100-apple-juice-64-fl-oz-bottle-market-pantry-8482/-/A-13305665#lnk
Butter 1/4,https://www.target.com/p/land-o-lakes-unsalted-butter-1lb/-/A-13227053#lnk
Coffee 1/4,https://www.target.com/p/folgers-classic-medium-roast-ground-coffee/-/A-89166217?preselect=82040203#lnk
antihistamine,https://www.target.com/p/diphenhydramine-hydrochloride-allergy-relief-tablets-up-up/-/A-51218071?preselect=50072743#lnk
Ibuprofen,https://www.target.com/p/ibuprofen-nsaid-200mg-pain-relief-fever-reducer-caplets-up-up/-/A-80393622?preselect=14502618#lnk
