College,Mean,Median,Min,Max
Auburn-AL,1266.17,1266.17,760,3450
Jacksonville-AL,804.36,804.36,459,1050
Livingston-AL,,,,
Montevallo-AL,1207.35,1207.35,587.5,2158
Troy-AL,713.67,713.67,662.5,811
Tuscaloosa-AL,1118.34,1118.34,465,2346.5
Tuskegee-AL,1166.48,1166.48,482.5,1959
Fairbanks-AK,1367.12,1367.12,1298,1406.5
Flagstaff-AZ,1977.02,1977.02,1301.5,3819
Arkadelphia-AR,715,715,715,715
Conway-AR,873.57,873.57,605,2075.5
Fayetteville-AR,1121.73,1121.73,710,1828
Magnolia-AR,,,,
Monticello-AR,700,700,700,700
Russellville-AR,808,808,590,1337.5
Arcata-CA,1213.12,1213.12,885,1550
Chico-CA,1251.4,1251.4,588,1866
Davis-CA,2022.99,2022.99,1325,2522.5
San-Luis-Obispo-CA,2280.83,2280.83,1195,2950
Santa-Barbara-CA,3592.83,3592.83,2800,4295.5
Santa-Cruz-CA,3117.54,3117.54,1890,4268.5
Alamosa-CO,,,,
Boulder-CO,2314.68,2314.68,1334.5,5884
Durango-CO,1750.25,1750.25,1565,1962
Fort-Collins-CO,1776.29,1776.29,1093.5,3276
Gunnison-CO,,,,
Storrs-CT,1565,1565,1100,2367.5
Willimantic-CT,1746.17,1746.17,1100,2437.5
Newark-DE,1611.05,1611.05,1135,3090
Gainesville-FL,1443.26,1443.26,942.5,2068
Tallahassee-FL,1312.06,1312.06,815,2145.5
Tallahassee-FL,1312.06,1312.06,815,2145.5
Athens-GA,1450.77,1450.77,775,2609
Carrollton-GA,1145,1145,787.5,1852.5
Dahlonega-GA,1648.25,1648.25,883.5,2593
Fort-Valley-GA,1126.91,1126.91,679,1744
Milledgeville-GA,952.12,952.12,669,1409
Statesboro-GA,1045.83,1045.83,737.5,1510
Valdosta-GA,959.64,959.64,690,1350
Moscow-ID,1107.23,1107.23,542.5,1629
Pocatello-ID,933.5,933.5,625,1370
Carbondale-IL,651.47,651.47,387.5,1214
Champaign-Urbana-IL,1689.52,1689.52,445,23350
Charleston-IL,643.6,643.6,383,885
DeKalb-IL,917.47,917.47,590,1450
Edwardsville-IL,1588.37,1588.37,675,3107
Macomb-IL,578.75,578.75,505,650
Bloomington-IN,1203.44,1203.44,621.5,1762
Muncie-IN,926.56,926.56,612.5,1575
Terre-Haute-IN,831.12,831.12,587.5,1207.5
West-Lafayette-IN,1382.32,1382.32,845,2099
Ames-IA,863.67,863.67,620,1225
Cedar-Falls-IA,1062.94,1062.94,712.5,1562.5
Iowa-City-IA,1078.45,1078.45,737.5,1550
Emporia-KS,581.57,581.57,370,771
Hays-KS,,,,
Lawrence-KS,1052.09,1052.09,690,2315
Manhattan-KS,800.11,800.11,644,1099
Pittsburg-KS,686.5,686.5,475,845
Bowling-Green-KY,971.83,971.83,645,1897.5
Morehead-KY,750,750,750,750
Murray-KY,,,,
Richmond-KY,834,834,600,1299
Grambling-LA,795,795,595,1220
Hammond-LA,944.88,944.88,600,1585
Natchitoches-LA,875,875,875,875
Ruston-LA,795,795,595,1220
Thibodaux-LA,1054.04,1054.04,797.5,1430
Augusta-ME,1058.75,1058.75,750,1250
Farmington-ME,,,,
Gorham-ME,2415.85,2415.85,1719.5,3872.5
Orono-ME,1762.5,1762.5,1275,2250
Frostburg-MD,912.25,912.25,767.5,1057
Princess-Anne-MD,1319,1319,878,1512.5
Salisbury-MD,1319,1319,878,1512.5
Amherst-MA,1886.94,1886.94,1375,2394.5
Bridgewater-MA,2537.76,2537.76,1225,4004.5
Ann-Arbor-MI,1876.49,1876.49,1231.5,3567.5
Big-Rapids-MI,1299,1299,1299,1299
Detroit-MI,1656.6,1656.6,940,3387.5
East-Lansing-MI,1315.74,1315.74,887.5,2805.5
Houghton-MI,,,,
Kalamazoo-MI,1186.93,1186.93,802.5,2300
Marquette-MI,1517.75,1517.75,1030.5,2052.5
Mount-Pleasant-MI,845.31,845.31,705,1072.5
